,Date,NO_2
188,2017-07-08,39.5
189,2017-07-09,39.541666666666664
190,2017-07-10,34.875
191,2017-07-11,54.791666666666664
192,2017-07-12,68.95833333333333
193,2017-07-13,72.45833333333333
194,2017-07-14,65.95833333333333
195,2017-07-15,36.25
196,2017-07-16,28.0
197,2017-07-17,50.166666666666664
198,2017-07-18,46.625
199,2017-07-19,26.541666666666668
200,2017-07-20,36.75
201,2017-07-21,33.5
202,2017-07-22,34.458333333333336
203,2017-07-23,43.208333333333336
204,2017-07-24,33.083333333333336
205,2017-07-25,21.416666666666668
206,2017-07-26,37.791666666666664
207,2017-07-27,56.0
208,2017-07-28,63.625
209,2017-07-29,56.916666666666664
210,2017-07-30,44.666666666666664
211,2017-07-31,38.625
212,2017-08-01,29.833333333333332
213,2017-08-02,47.166666666666664
214,2017-08-03,59.75
215,2017-08-04,46.958333333333336
216,2017-08-05,44.458333333333336
217,2017-08-06,15.375
218,2017-08-07,30.083333333333332
219,2017-08-08,21.333333333333332
220,2017-08-09,22.083333333333332
221,2017-08-10,16.208333333333332
222,2017-08-11,25.208333333333332
223,2017-08-12,30.583333333333332
224,2017-08-13,37.833333333333336
225,2017-08-14,38.625
226,2017-08-15,19.291666666666668
227,2017-08-16,48.375
228,2017-08-17,39.041666666666664
229,2017-08-18,59.75
230,2017-08-19,26.666666666666668
231,2017-08-20,27.291666666666668
232,2017-08-21,30.666666666666668
233,2017-08-22,35.416666666666664
234,2017-08-23,55.125
235,2017-08-24,47.916666666666664
236,2017-08-25,51.0
237,2017-08-26,51.041666666666664
238,2017-08-27,27.916666666666668
239,2017-08-28,34.458333333333336
240,2017-08-29,28.458333333333332
241,2017-08-30,33.958333333333336
242,2017-08-31,28.125
243,2017-09-01,23.0
244,2017-09-02,28.041666666666668
245,2017-09-03,49.833333333333336
246,2017-09-04,34.333333333333336
247,2017-09-05,47.041666666666664
248,2017-09-06,51.791666666666664
249,2017-09-07,30.625
250,2017-09-08,60.791666666666664
251,2017-09-09,42.583333333333336
252,2017-09-10,27.708333333333332
253,2017-09-11,43.958333333333336
254,2017-09-12,35.958333333333336
255,2017-09-13,64.5
256,2017-09-14,69.79166666666667
257,2017-09-15,20.541666666666668
258,2017-09-16,28.791666666666668
259,2017-09-17,45.666666666666664
260,2017-09-18,50.666666666666664
261,2017-09-19,61.125
262,2017-09-20,74.08333333333333
263,2017-09-21,82.16666666666667
264,2017-09-22,67.125
265,2017-09-23,48.791666666666664
266,2017-09-24,64.20833333333333
267,2017-09-25,58.458333333333336
268,2017-09-26,44.125
269,2017-09-27,68.04166666666667
270,2017-09-28,75.41666666666667
271,2017-09-29,65.66666666666667
272,2017-09-30,75.91666666666667
273,2017-10-01,37.5
274,2017-10-02,48.25
275,2017-10-03,55.708333333333336
276,2017-10-04,47.041666666666664
277,2017-10-05,78.08333333333333
278,2017-10-06,65.75
279,2017-10-07,54.291666666666664
280,2017-10-08,62.25
281,2017-10-09,79.95833333333333
282,2017-10-10,87.45833333333333
283,2017-10-11,98.83333333333333
284,2017-10-12,93.95833333333333
285,2017-10-13,77.33333333333333
286,2017-10-14,74.04166666666667
287,2017-10-15,66.45833333333333
288,2017-10-16,51.166666666666664
289,2017-10-17,53.583333333333336
290,2017-10-18,40.25
291,2017-10-19,46.375
292,2017-10-20,48.708333333333336
293,2017-10-21,42.25
294,2017-10-22,43.791666666666664
295,2017-10-23,63.958333333333336
296,2017-10-24,77.04166666666667
297,2017-10-25,90.125
298,2017-10-26,101.45833333333333
299,2017-10-27,71.375
300,2017-10-28,56.583333333333336
301,2017-10-29,57.166666666666664
302,2017-10-30,47.625
303,2017-10-31,54.291666666666664
304,2017-11-01,52.208333333333336
305,2017-11-02,60.916666666666664
306,2017-11-03,54.125
307,2017-11-04,36.666666666666664
308,2017-11-05,39.833333333333336
309,2017-11-06,48.958333333333336
310,2017-11-07,63.916666666666664
311,2017-11-08,53.208333333333336
312,2017-11-09,31.708333333333332
313,2017-11-10,62.916666666666664
314,2017-11-11,64.95833333333333
315,2017-11-12,60.0
316,2017-11-13,52.916666666666664
317,2017-11-14,66.83333333333333
318,2017-11-15,79.08333333333333
319,2017-11-16,100.41666666666667
320,2017-11-17,96.375
321,2017-11-18,74.20833333333333
322,2017-11-19,71.08333333333333
323,2017-11-20,82.33333333333333
324,2017-11-21,96.83333333333333
325,2017-11-22,93.875
326,2017-11-23,95.83333333333333
327,2017-11-24,74.29166666666667
328,2017-11-25,67.125
329,2017-11-26,44.375
330,2017-11-27,71.70833333333333
331,2017-11-28,78.70833333333333
332,2017-11-29,54.791666666666664
333,2017-11-30,48.958333333333336
334,2017-12-01,47.0
335,2017-12-02,53.625
336,2017-12-03,54.583333333333336
337,2017-12-04,61.416666666666664
338,2017-12-05,79.41666666666667
339,2017-12-06,73.5
340,2017-12-07,78.79166666666667
341,2017-12-08,80.08333333333333
342,2017-12-09,55.458333333333336
343,2017-12-10,17.458333333333332
344,2017-12-11,24.041666666666668
345,2017-12-12,54.125
346,2017-12-13,57.166666666666664
347,2017-12-14,32.208333333333336
348,2017-12-15,41.916666666666664
349,2017-12-16,63.291666666666664
350,2017-12-17,43.708333333333336
351,2017-12-18,67.16666666666667
352,2017-12-19,79.125
353,2017-12-20,82.375
354,2017-12-21,84.0
355,2017-12-22,87.45833333333333
356,2017-12-23,60.041666666666664
357,2017-12-24,47.208333333333336
358,2017-12-25,36.541666666666664
359,2017-12-26,39.5
360,2017-12-27,24.5
361,2017-12-28,33.666666666666664
362,2017-12-29,36.208333333333336
363,2017-12-30,31.125
364,2017-12-31,29.0
365,2018-01-01,9.0
